Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,STL.1,BLK.1,Rookie_Year,Fetch_Date
98,Ja'Kobe Walter,"Nov 1, '24, TOR vs. LAL",20,2,89,1757,237,574,109,306,93,119,85,238,113,75,16,69,167,676,0.413,0.356,0.782,19.7,7.6,2.7,1.3,0.8,0.2,2025,2026-01-21
99,Kel'el Ware,"Oct 23, '24, MIA vs. ORL",20,2,107,2445,455,831,86,234,99,132,254,893,84,76,119,99,180,1095,0.548,0.368,0.75,22.9,10.2,8.3,0.8,0.7,1.1,2025,2026-01-21
100,Anton Watson,"Mar 10, '25, NYK @ SAC",24,1,9,22,4,9,0,1,0,0,1,3,2,1,0,2,3,8,0.444,0.0,,2.4,0.9,0.3,0.2,0.1,0.0,2025,2026-01-21
101,Jaylen Wells,"Oct 23, '24, MEM @ UTA",21,2,120,3153,452,1085,208,604,192,240,124,410,206,79,11,114,228,1304,0.417,0.344,0.8,26.3,10.9,3.4,1.7,0.7,0.1,2025,2026-01-21
102,Phillip Wheeler,"Mar 26, '25, PHI vs. WAS",22,1,5,44,3,21,0,10,2,2,2,8,2,1,2,1,1,8,0.143,0.0,1.0,8.8,1.6,1.6,0.4,0.2,0.4,2025,2026-01-21
103,Cody Williams,"Oct 23, '24, UTA vs. MEM",20,2,81,1595,154,412,47,190,40,59,48,176,83,34,25,59,145,395,0.374,0.247,0.678,19.7,4.9,2.2,1.0,0.4,0.3,2025,2026-01-21
104,Jahmir Young,"Mar 4, '25, CHI vs. CLE",24,2,11,54,8,16,3,7,2,2,1,5,10,1,0,3,5,21,0.5,0.429,1.0,4.9,1.9,0.5,0.9,0.1,0.0,2025,2026-01-21
1,Ace Bailey,"Oct 22, '25, UTA vs. LAC",19,1,37,898,155,351,53,154,25,35,55,127,60,26,15,47,91,388,0.442,0.344,0.714,24.3,10.5,3.4,1.6,0.7,0.4,2026,2026-01-21
2,Brooks Barnhizer,"Oct 21, '25, OKC vs. HOU",23,1,21,160,12,27,1,6,4,6,7,38,9,3,2,3,12,29,0.444,0.167,0.667,7.6,1.4,1.8,0.4,0.1,0.1,2026,2026-01-21
3,Joan Beringer,"Oct 24, '25, MIN @ LAL",19,1,18,125,27,37,0,0,3,4,17,38,5,3,7,5,19,57,0.73,,0.75,6.9,3.2,2.1,0.3,0.2,0.4,2026,2026-01-21
