,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
1,Ace Bailey,"Oct 22, '25, UTA vs. LAC",19,1,32,740,126,288,45,129,20,30,45,102,48,23,12,37,76,317,0.438,0.349,0.667,23.1,9.9,3.2,1.5,0.7,0.4
2,Brooks Barnhizer,"Oct 21, '25, OKC vs. HOU",23,1,21,160,12,27,1,6,4,6,7,38,9,3,2,3,12,29,0.444,0.167,0.667,7.6,1.4,1.8,0.4,0.1,0.1
3,Joan Beringer,"Oct 24, '25, MIN @ LAL",19,1,15,90,20,27,0,0,3,4,11,26,2,3,5,4,13,43,0.741,,0.75,6,2.9,1.7,0.1,0.2,0.3
4,Koby Brea,"Nov 2, '25, PHO vs. SAS",23,1,2,8,1,3,0,2,2,2,0,1,2,0,0,0,0,4,0.333,0,1,4,2,0.5,1,0,0
5,Johni Broome,"Nov 2, '25, PHI @ BRK",23,1,7,40,4,20,0,3,2,4,6,13,4,2,0,2,5,10,0.2,0,0.5,5.7,1.4,1.9,0.6,0.3,0
6,Carter Bryant,"Oct 22, '25, SAS @ DAL",20,1,30,222,23,72,10,39,6,8,9,46,5,4,2,10,22,62,0.319,0.256,0.75,7.4,2.1,1.5,0.2,0.1,0.1
7,Dylan Cardwell,"Oct 22, '25, SAC @ PHO",24,1,13,229,22,46,0,1,12,24,36,79,11,9,19,10,46,56,0.478,0,0.5,17.6,4.3,6.1,0.8,0.7,1.5
8,Moussa Cisse,"Oct 22, '25, DAL vs. SAS",23,1,22,231,26,43,0,0,14,33,36,85,3,8,23,16,36,66,0.605,,0.424,10.5,3,3.9,0.1,0.4,1
9,Walter Clayton,"Oct 22, '25, UTA vs. LAC",22,1,34,591,80,191,38,110,45,47,11,66,106,17,8,37,65,243,0.419,0.345,0.957,17.4,7.1,1.9,3.1,0.5,0.2
10,Nique Clifford,"Oct 22, '25, SAC @ PHO",23,1,36,675,74,183,25,81,22,32,23,98,45,23,9,40,73,195,0.404,0.309,0.688,18.8,5.4,2.7,1.3,0.6,0.3
11,Javonte Cooke,"Nov 19, '25, POR vs. CHI",26,1,6,44,4,17,2,8,0,0,1,6,7,2,0,5,1,10,0.235,0.25,,7.3,1.7,1,1.2,0.3,0
12,Cedric Coward,"Oct 22, '25, MEM vs. NOP",22,1,36,960,179,381,55,162,88,104,56,240,105,20,11,61,72,501,0.47,0.34,0.846,26.7,13.9,6.7,2.9,0.6,0.3
13,Mohamed Diawara,"Oct 28, '25, NYK @ MIL",20,1,31,157,22,55,12,30,1,4,5,27,14,8,4,8,16,57,0.4,0.4,0.25,5.1,1.8,0.9,0.5,0.3,0.1
14,Hunter Dickinson,"Oct 22, '25, NOP @ MEM",25,1,1,5,1,2,0,0,0,0,0,0,0,0,1,2,2,2,0.5,,,5,2,0,0,0,1
15,Egor Dёmin,"Oct 22, '25, BRK @ CHO",19,1,33,818,117,293,79,202,29,35,17,108,115,31,10,60,62,342,0.399,0.391,0.829,24.8,10.4,3.3,3.5,0.9,0.3
16,VJ Edgecombe,"Oct 22, '25, PHI @ BOS",20,1,34,1226,203,475,78,204,62,79,58,183,148,53,17,59,108,546,0.427,0.382,0.785,36.1,16.1,5.4,4.4,1.6,0.5
17,Noa Essengue,"Nov 22, '25, CHI vs. WAS",19,1,2,6,0,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,,3,0,0,0,0.5,0
18,Jeremiah Fears,"Oct 22, '25, NOP @ MEM",19,1,42,1122,229,521,44,135,100,126,31,151,132,52,10,105,74,602,0.44,0.326,0.794,26.7,14.3,3.6,3.1,1.2,0.2
19,Cooper Flagg,"Oct 22, '25, DAL vs. SAS",19,1,39,1348,284,592,39,133,139,170,46,249,166,51,31,87,89,746,0.48,0.293,0.818,34.6,19.1,6.4,4.3,1.3,0.8
