,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
52,Yuki Kawamura,"Oct 25, '24, MEM @ HOU",23,1,22,93,11,30,7,23,7,9,0,12,19,2,0,5,8,36,0.367,0.304,0.778,4.2,1.6,0.5,0.9,0.1,0
53,Kylor Kelley,"Jan 27, '25, DAL vs. WAS",27,1,11,126,14,22,0,0,6,10,12,39,5,1,3,4,15,34,0.636,,0.6,11.5,3.1,3.5,0.5,0.1,0.3
54,Bobi Klintman,"Jan 8, '25, DET @ BRK",21,2,14,95,13,31,5,16,1,5,6,23,11,4,1,6,17,32,0.419,0.313,0.2,6.8,2.3,1.6,0.8,0.3,0.1
55,Dalton Knecht,"Oct 22, '24, LAL vs. MIN",23,2,111,1935,322,706,156,430,75,100,48,271,79,32,17,53,129,875,0.456,0.363,0.75,17.4,7.9,2.4,0.7,0.3,0.2
56,Tyler Kolek,"Oct 22, '24, NYK @ BOS",23,2,75,751,97,241,37,116,23,32,19,93,166,26,7,51,75,254,0.402,0.319,0.719,10,3.4,1.2,2.2,0.3,0.1
57,Pelle Larsson,"Oct 23, '24, MIA vs. ORL",23,2,87,1497,192,425,65,191,96,134,47,178,165,50,15,56,151,545,0.452,0.34,0.716,17.2,6.3,2,1.9,0.6,0.2
58,Malevy Leons,"Nov 1, '24, OKC @ POR",25,1,6,21,0,2,0,1,2,4,1,3,1,0,0,1,4,2,0,0,0.5,3.5,0.3,0.5,0.2,0,0
59,Jaylen Martin,"Oct 27, '24, BRK vs. MIL",21,1,16,239,31,74,7,23,9,10,11,44,17,9,0,12,14,78,0.419,0.304,0.9,14.9,4.9,2.8,1.1,0.6,0
60,Karlo Matković,"Oct 23, '24, NOP vs. CHI",23,2,71,1147,198,334,32,94,41,58,87,302,68,30,63,59,148,469,0.593,0.34,0.707,16.2,6.6,4.3,1,0.4,0.9
,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
61,Jared McCain,"Oct 23, '24, PHI vs. MIL",20,2,52,1100,194,467,81,226,67,77,17,122,108,37,1,60,73,536,0.415,0.358,0.87,21.2,10.3,2.3,2.1,0.7,0
62,Kevin McCullar Jr.,"Mar 25, '25, NYK vs. DAL",23,2,14,115,12,30,6,15,4,7,8,28,17,5,1,8,20,34,0.4,0.4,0.571,8.2,2.4,2,1.2,0.4,0.1
63,Jack McVeigh,"Nov 6, '24, HOU vs. SAS",28,1,9,43,5,17,4,13,0,0,2,5,1,0,2,2,3,14,0.294,0.308,,4.8,1.6,0.6,0.1,0,0.2
64,Emanuel Miller,"Mar 4, '25, CHI vs. CLE",24,2,11,58,10,21,2,7,3,4,5,11,6,3,0,0,5,25,0.476,0.286,0.75,5.3,2.3,1,0.5,0.3,0
65,Riley Minix,"Nov 6, '24, SAS @ HOU",24,2,4,15,4,7,1,4,0,0,1,4,1,1,0,0,1,9,0.571,0.25,,3.8,2.3,1,0.3,0.3,0
66,Yves Missi,"Oct 23, '24, NOP vs. CHI",20,2,107,2558,345,628,0,1,156,253,347,782,136,49,140,108,201,846,0.549,0,0.617,23.9,7.9,7.3,1.3,0.5,1.3
67,Ajay Mitchell,"Oct 24, '24, OKC @ DEN",22,2,75,1624,290,600,65,184,140,161,45,203,205,81,17,86,154,785,0.483,0.353,0.87,21.7,10.5,2.7,2.7,1.1,0.2
68,Jonathan Mogbo,"Oct 23, '24, TOR vs. CLE",23,2,78,1369,166,372,17,70,61,83,115,330,155,57,37,72,141,410,0.446,0.243,0.735,17.6,5.3,4.2,2,0.7,0.5
69,Tristen Newton,"Nov 18, '24, IND @ TOR",23,1,8,16,1,8,0,3,1,1,2,4,2,1,0,2,4,3,0.125,0,1,2,0.4,0.5,0.3,0.1,0
70,Miles Norris,"Mar 6, '25, BOS vs. PHI",24,1,3,35,2,9,2,7,1,2,2,9,0,2,1,0,0,7,0.222,0.286,0.5,11.7,2.3,3,0,0.7,0.3
71,Quincy Olivari,"Dec 8, '24, LAL vs. POR",23,1,2,10,1,5,1,5,0,0,0,0,1,0,0,1,0,3,0.2,0.2,,5,1.5,0,0.5,0,0
72,Daeqwon Plowden,"Jan 15, '25, ATL @ CHI",26,2,7,86,17,30,9,20,2,2,6,13,2,0,0,4,10,45,0.567,0.45,1,12.3,6.4,1.9,0.3,0,0
73,Quinten Post,"Dec 27, '24, GSW @ LAC",24,2,83,1426,245,554,136,364,39,49,73,305,115,37,40,65,164,665,0.442,0.374,0.796,17.2,8,3.7,1.4,0.4,0.5
74,Zyon Pullin,"Feb 3, '25, MEM vs. SAS",23,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0
75,Alex Reese,"Oct 27, '24, OKC vs. ATL",25,1,15,216,26,54,15,41,9,12,9,47,4,10,10,6,21,76,0.481,0.366,0.75,14.4,5.1,3.1,0.3,0.7,0.7
76,Antonio Reeves,"Oct 23, '24, NOP vs. CHI",24,2,50,713,121,264,56,139,28,35,19,68,41,22,4,30,43,326,0.458,0.403,0.8,14.3,6.5,1.4,0.8,0.4,0.1
77,Zaccharie Risacher,"Oct 23, '24, ATL vs. BRK",19,2,111,2730,513,1117,179,503,140,202,120,387,144,84,56,125,229,1345,0.459,0.356,0.693,24.6,12.1,3.5,1.3,0.8,0.5
78,Liam Robbins,"Oct 31, '24, MIL @ MEM",25,1,13,57,2,8,0,2,5,10,7,12,2,2,2,6,9,9,0.25,0,0.5,4.4,0.7,0.9,0.2,0.2,0.2
79,Jackson Rowe,"Feb 5, '25, GSW @ UTA",28,1,6,52,8,17,3,10,3,6,3,11,4,4,0,1,4,22,0.471,0.3,0.5,8.7,3.7,1.8,0.7,0.7,0
80,Tidjane Salaün,"Oct 26, '24, CHO vs. MIA",19,2,85,1662,172,462,84,267,86,121,87,386,96,40,20,77,124,514,0.372,0.315,0.711,19.6,6,4.5,1.1,0.5,0.2
,,,,,Totals,,,,,,,,,,,,,,,,Shooting,,,Per Game,,,,,
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
81,Alex Sarr,"Oct 24, '24, WAS vs. BOS",19,2,96,2632,528,1231,135,427,180,261,189,661,245,67,168,167,203,1371,0.429,0.316,0.69,27.4,14.3,6.9,2.6,0.7,1.8
82,Baylor Scheierman,"Oct 24, '24, BOS @ WAS",24,2,65,787,73,179,49,137,13,17,29,120,53,33,4,25,72,208,0.408,0.358,0.765,12.1,3.2,1.8,0.8,0.5,0.1
83,Terrence Shannon Jr.,"Nov 2, '24, MIN @ SAS",24,2,54,621,87,195,26,68,38,48,16,75,46,14,6,30,56,238,0.446,0.382,0.792,11.5,4.4,1.4,0.9,0.3,0.1
